,text,start,end
0,Hello,0.0,0.4
1,"world,",0.4,0.94
2,my,1.04,1.1
3,name,1.1,1.28
4,is,1.28,1.42
5,Professor,1.42,1.76
6,David,1.76,2.04
7,J.,2.04,2.28
8,Mailin.,2.36,2.58
9,I,2.72,2.82
10,teach,2.82,2.94
11,computer,2.94,3.26
12,science,3.26,3.64
13,at,3.64,3.82
14,"Harvard,",3.82,4.16
15,and,4.18,4.34
16,I'm,4.34,4.5
17,here,4.5,4.68
18,today,4.68,4.96
19,to,4.96,5.14
20,answer,5.14,5.26
21,your,5.26,5.52
22,questions,5.52,5.92
23,from,5.92,6.28
24,Twitter.,6.28,6.64
25,This,7.08,7.12
26,is,7.12,7.48
27,Computer,7.48,7.8
28,Science,7.8,8.2
29,Support.,8.2,8.68
30,First,12.960000000000003,13.48
31,"up,",13.48,13.74
32,from,13.94,14.02
33,Tad,14.02,14.26
34,"Proletarian,",14.26,14.84
35,how,15.1,15.18
36,do,15.18,15.38
37,search,15.38,15.66
38,engines,15.66,16.06
39,work,16.06,16.4
40,so,16.4,16.66
41,fast?,16.66,17.02
42,"Well,",17.1,17.22
43,the,17.4,17.52
44,short,17.52,17.86
45,answer,17.86,18.2
46,really,18.2,18.56
47,is,18.56,18.96
48,distributed,18.96,19.58
49,"computing,",19.58,20.26
50,which,20.5,20.68
51,is,20.68,20.92
52,to,20.92,21.04
53,say,21.04,21.3
54,that,21.3,21.56
55,Google,21.56,21.94
56,and,21.94,22.4
57,Bing,22.4,22.74
58,and,22.74,23.02
59,other,23.02,23.26
60,search,23.26,23.68
61,engines,23.68,23.98
62,don't,23.98,24.3
63,just,24.3,24.56
64,have,24.56,24.78
65,one,24.78,25.1
66,"server,",25.1,25.28
67,and,25.42,25.48
68,they,25.48,25.54
69,don't,25.54,25.66
70,even,25.66,25.82
71,have,25.82,26.06
72,just,26.06,26.24
73,one,26.24,26.58
74,really,26.58,26.82
75,big,26.82,27.16
76,"server,",27.16,27.46
77,rather,27.46,27.76
78,they,27.76,27.98
79,have,27.98,28.42
80,"hundreds,",28.42,28.84
81,"thousands,",29.14,29.62
82,probably,29.74,30.16
83,hundreds,30.16,30.68
84,of,30.68,30.88
85,thousands,30.88,31.22
86,or,31.22,31.56
87,more,31.56,31.78
88,servers,31.78,32.26
89,nowadays,32.26,32.7
90,around,32.7,33.28
91,the,33.28,33.48
92,world.,33.48,33.78
93,And,33.92,34.0
94,so,34.0,34.08
95,when,34.08,34.22
96,you,34.22,34.4
97,and,34.4,34.56
98,I,34.56,34.76
99,go,34.76,35.14
100,into,35.14,35.5
101,Google,35.5,35.98
102,or,35.98,36.3
103,"Bing,",36.3,36.66
104,and,36.7,36.84
105,maybe,36.84,37.08
106,type,37.08,37.26
107,in,37.26,37.46
108,a,37.46,37.54
109,word,37.54,37.7
110,to,37.7,37.88
111,search,37.88,38.1
112,"for,",38.1,38.36
113,like,38.62,38.76
114,"cats,",38.76,39.04
115,it's,39.38,39.64
116,quite,39.64,39.98
117,possible,39.98,40.42
118,that,40.42,40.62
119,when,40.62,40.8
120,you,40.8,40.96
121,hit,40.96,41.2
122,"Enter,",41.2,41.52
123,and,41.74,41.98
124,that,41.98,42.3
125,"keyword,",42.3,42.72
126,like,42.82,43.16
127,"cats,",43.16,43.44
128,is,43.48,43.74
129,sent,43.74,44.0
130,over,44.0,44.28
131,the,44.28,44.58
132,internet,44.58,44.84
133,to,44.84,45.24
134,Google,45.24,45.56
135,or,45.56,45.78
136,to,45.78,45.98
137,"Bing,",45.98,46.18
138,it's,46.3,46.8
139,actually,46.8,47.06
140,spread,47.06,47.36
141,out,47.36,47.68
142,ultimately,47.68,47.98
143,across,47.98,48.42
144,multiple,48.42,48.84
145,"servers,",48.84,49.4
146,some,49.46,49.66
147,of,49.66,49.72
148,which,49.72,49.86
149,are,49.86,49.98
150,grabbing,49.98,50.22
151,the,50.22,50.44
152,first,50.44,50.64
153,10,50.64,50.86
154,"results,",50.86,51.12
155,some,51.38,51.54
156,of,51.54,51.64
157,which,51.64,51.76
158,are,51.76,51.88
159,grabbing,51.88,52.14
160,the,52.14,52.34
161,next,52.34,52.54
162,10,52.54,52.72
163,"results,",52.72,52.9
164,the,53.02,53.16
165,next,53.16,53.36
166,10,53.36,53.54
167,"results,",53.54,53.8
168,so,53.92,54.14
169,that,54.14,54.42
170,you,54.42,54.66
171,see,54.66,54.82
172,just,54.82,55.14
173,one,55.14,55.46
174,collection,55.46,56.04
175,of,56.04,56.38
