,text,start,end
0,In,21.679999999999996,22.279999999999998
1,Operation,22.279999999999998,22.88
2,Home,22.88,23.2
3,and,23.2,23.42
4,"Garden,",23.42,23.78
5,Israel,24.08,24.32
6,claimed,24.32,24.66
7,to,24.66,24.9
8,target,24.9,25.2
9,the,25.2,25.38
10,so,25.38,25.54
11,-called,25.54,25.82
12,Jenin,25.82,26.2
13,"Brigade,",26.2,26.5
14,one,26.96,27.08
15,of,27.08,27.18
16,many,27.18,27.46
17,armed,27.46,27.8
18,groups,27.8,28.1
19,fighting,28.1,28.48
20,the,28.48,28.7
21,occupation.,28.7,29.28
22,The,31.72,32.04
23,raid,32.04,32.22
24,came,32.22,32.48
25,at,32.48,32.62
26,a,32.62,32.78
27,time,32.78,32.92
28,of,32.92,33.08
29,internal,33.08,33.5
30,political,33.5,33.92
31,unrest,33.92,34.34
32,and,34.34,34.64
33,division,34.64,34.98
34,within,34.98,35.34
35,Israel's,35.34,35.92
36,own,35.92,36.14
37,political,36.14,36.56
38,"parties,",36.56,37.08
39,and,37.24,37.46
40,is,37.46,37.58
41,viewed,37.58,37.82
42,by,37.82,38.04
43,critics,38.04,38.4
44,as,38.4,38.74
45,a,38.74,38.88
46,right,38.88,39.06
47,-wing,39.06,39.28
48,tool,39.28,39.54
49,to,39.54,39.8
50,save,39.8,40.0
51,face.,40.0,40.44
52,There's,90.16,90.88
53,long,90.88,91.08
54,been,91.08,91.36
55,tension,91.36,91.78
56,between,91.78,92.14
57,the,92.14,92.26
58,residents,92.26,92.64
59,of,92.64,92.9
60,Jenin,92.9,93.16
61,and,93.16,93.36
62,the,93.36,93.48
63,Palestinian,93.48,93.96
64,"Authority,",93.96,94.54
65,an,95.56,95.92
66,elected,95.92,96.2
67,administrative,96.2,96.86
68,body,96.86,97.32
69,believed,97.32,97.62
70,to,97.62,97.88
71,be,97.88,98.1
72,an,98.1,98.32
73,arm,98.32,98.5
74,of,98.5,98.7
75,Israeli,98.7,99.02
76,rule.,99.02,99.4
77,After,101.06,101.42
78,the,101.42,101.6
79,July,101.6,101.9
80,"invasion,",101.9,102.38
81,angry,102.62,102.86
82,residents,102.86,103.38
83,protested,103.38,104.06
84,outside,104.06,104.56
85,the,104.56,104.76
86,Palestinian,104.76,105.3
87,Authority,105.3,105.82
88,headquarters,105.82,106.42
89,and,106.42,106.86
90,accused,106.86,107.16
91,them,107.16,107.42
92,of,107.42,107.66
93,hiding,107.66,107.9
94,away,107.9,108.26
95,during,108.26,108.62
96,the,108.62,108.8
97,Israeli,108.8,109.24
98,offensive.,109.24,109.94
99,As,122.7,123.36
100,some,123.36,124.02
101,take,124.02,124.32
102,up,124.32,124.54
103,armed,124.54,124.88
104,"struggle,",124.88,125.32
105,others,125.64,125.88
106,in,125.88,126.08
107,the,126.08,126.22
108,community,126.22,126.64
109,have,126.64,126.9
110,created,126.9,127.4
111,citizen,127.4,127.9
112,-led,127.9,128.12
113,initiatives,128.12,128.66
114,to,128.66,128.98
115,combat,128.98,129.48
116,Israel's,129.48,130.1
117,regime.,130.1,130.46
